drug_name,drugbank_id,smpdb_id,pathway,category,uniprot_id
Pyridoxal phosphate,DB00114,SMP0000044,Histidine Metabolism,metabolic,Q96KN2
Pyridoxal phosphate,DB00114,SMP0000044,Histidine Metabolism,metabolic,Q8N4J0
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,P21953
Pyridoxal phosphate,DB00114,SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,P31937
Pyridoxal phosphate,DB00114,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P34896
Pyridoxal phosphate,DB00114,SMP0000719,2-Aminoadipic 2-Oxoadipic Aciduria,disease,Q9UDR5
Pyridoxal phosphate,DB00114,SMP0000719,2-Aminoadipic 2-Oxoadipic Aciduria,disease,P52569
Pyridoxal phosphate,DB00114,SMP0000719,2-Aminoadipic 2-Oxoadipic Aciduria,disease,P09622
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,P00966
Pyridoxal phosphate,DB00114,SMP0000024,Porphyrin Metabolism,metabolic,P13196
Pyridoxal phosphate,DB00114,SMP0000024,Porphyrin Metabolism,metabolic,P53004
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000198,Malonic Aciduria,disease,Q96PE7
Pyridoxal phosphate,DB00114,SMP0000198,Malonic Aciduria,disease,P09622
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000206,Phenylketonuria,disease,P17174
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000206,Phenylketonuria,disease,P17174
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Tetrahydrofolic acid,DB00116,SMP0000033,Methionine Metabolism,metabolic,P42898
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000123,Betaine Metabolism,metabolic,P49419
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,P11586
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000009,Ammonia Recycling,metabolic,Q7L266
Tetrahydrofolic acid,DB00116,SMP0000430,Thioguanine Action Pathway,drug_action,P00492
Tetrahydrofolic acid,DB00116,SMP0000430,Thioguanine Action Pathway,drug_action,Q9BY32
Tetrahydrofolic acid,DB00116,SMP0000432,Methotrexate Action Pathway,drug_action,Q05932
Tetrahydrofolic acid,DB00116,SMP0000033,Methionine Metabolism,metabolic,P42898
Tetrahydrofolic acid,DB00116,SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,P11586
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000427,Azathioprine Action Pathway,drug_action,P00492
Tetrahydrofolic acid,DB00116,SMP0000427,Azathioprine Action Pathway,drug_action,Q9BY32
Tetrahydrofolic acid,DB00116,SMP0000428,Mercaptopurine Action Pathway,drug_action,P00492
Tetrahydrofolic acid,DB00116,SMP0000428,Mercaptopurine Action Pathway,drug_action,P31939
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P42898
Tetrahydrofolic acid,DB00116,SMP0000009,Ammonia Recycling,metabolic,Q7L266
Tetrahydrofolic acid,DB00116,SMP0000050,Purine Metabolism,metabolic,P50583
Tetrahydrofolic acid,DB00116,SMP0000050,Purine Metabolism,metabolic,Q08499
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P42898
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000144,Adenosine Deaminase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000144,Adenosine Deaminase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P42898
Tetrahydrofolic acid,DB00116,SMP0000223,Non-Ketotic Hyperglycinemia,disease,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000044,Histidine Metabolism,metabolic,A5YM72
Tetrahydrofolic acid,DB00116,SMP0000044,Histidine Metabolism,metabolic,Q96KP4
Tetrahydrofolic acid,DB00116,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P42898
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000123,Betaine Metabolism,metabolic,P49419
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,P50583
Tetrahydrofolic acid,DB00116,SMP0000167,Adenylosuccinate Lyase Deficiency,disease,Q08499
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Tetrahydrofolic acid,DB00116,SMP0000004,Glycine and Serine Metabolism,metabolic,P05091
Histidine,DB00117,SMP0000247,Azithromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000248,Clarithromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000009,Ammonia Recycling,metabolic,P08243
Histidine,DB00117,SMP0000250,Erythromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000247,Azithromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000291,Doxycycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000295,Lymecycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000729,Chloramphenicol Action Pathway,drug_action,
Histidine,DB00117,SMP0000256,Neomycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000262,Clomocycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000253,Amikacin Action Pathway,drug_action,
Histidine,DB00117,SMP0000712,Tigecycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000293,Oxytetracycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000290,Demeclocycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000711,Tobramycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000294,Tetracycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000251,Roxithromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000254,Gentamicin Action Pathway,drug_action,
Histidine,DB00117,SMP0000258,Spectinomycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000727,Methacycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000257,Netilmicin Action Pathway,drug_action,
Histidine,DB00117,SMP0000252,Telithromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000292,Minocycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000259,Streptomycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000255,Kanamycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000249,Clindamycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000248,Clarithromycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000726,Rolitetracycline Action Pathway,drug_action,
Histidine,DB00117,SMP0000731,Josamycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000714,Paromomycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000728,Lincomycin Action Pathway,drug_action,
Histidine,DB00117,SMP0000493,"Carnosinuria, Carnosinemia",disease,Q99259
Histidine,DB00117,SMP0000493,"Carnosinuria, Carnosinemia",disease,Q99259
Histidine,DB00117,SMP0000009,Ammonia Recycling,metabolic,P08243
Histidine,DB00117,SMP0000493,"Carnosinuria, Carnosinemia",disease,Q99259
Histidine,DB00117,SMP0000044,Histidine Metabolism,metabolic,O60678
Histidine,DB00117,SMP0000713,Arbekacin Action Pathway,drug_action,
Ademetionine,DB00118,SMP0000033,Methionine Metabolism,metabolic,Q99707
